致,4
舗,4
舞,4
舟,4
般,4
芋,4
芝,4
茂,4
荒,4
菓,4
蓄,4
薄,4
薪,4
被,4
襲,4
触,4
訴,4
詰,4
詳,4
誇,4
誉,4
謡,4
豪,4
販,4
賦,4
贈,4
越,4
趣,4
距,4
跡,4
跳,4
踊,4
踏,4
躍,4
軒,4
較,4
載,4
輝,4
輩,4
込,4
迎,4
迫,4
逃,4
透,4
途,4
遅,4
違,4
遣,4
避,4
郎,4
釈,4
鈍,4
鉛,4
鋭,4
鎖,4
鑑,4
闘,4
陣,4
陰,4
隠,4
隣,4
隷,4
雄,4
雅,4
雌,4
離,4
雷,4
需,4
震,4
霧,4
露,4
響,4
項,4
頼,4
飾,4
駆,4
騒,4
驚,4
髪,4
鬼,4
鮮,4
麗,4
黙,4
鼓,4
齢,4
乏,3
乙,3
了,3
企,3
伏,3
伐,3
伴,3
伸,3
佳,3
侍,3
促,3
倣,3
倹,3
偶,3
催,3
債,3
克,3
免,3
冗,3
冠,3
凍,3
凝,3
刑,3
削,3
励,3
勘,3
募,3
匠,3
匿,3
卑,3
卓,3
卸,3
厘,3
又,3
双,3
吉,3
吏,3
哀,3
哲,3
啓,3
喚,3
喫,3
嘱,3
坑,3
埋,3
塊,3
塗,3
墜,3
墨,3
墳,3
墾,3
壇,3
奉,3
契,3
奪,3
如,3
妨,3
姫,3
娯,3
婆,3
婿,3
嫁,3
嬢,3
孔,3
孤,3
宴,3
審,3
寿,3
封,3
尿,3
岳,3
峡,3
崩,3
巧,3
帆,3
帝,3
幻,3
幽,3
廉,3
廊,3
弧,3
彫,3
徐,3
忌,3
怠,3
怪,3
恨,3
悔,3
悟,3
悦,3
惜,3
愚,3
慈,3
慌,3
慕,3
慨,3
慰,3
憂,3
憎,3
憩,3
房,3
抑,3
択,3
抽,3
拘,3
掃,3
掌,3
排,3
掛,3
控,3
措,3
掲,3
揚,3
換,3
揺,3
携,3
搾,3
摂,3
撮,3
擁,3
擦,3
敢,3
斗,3
斤,3
斥,3
施,3
既,3
昇,3
晶,3
暫,3
架,3
某,3
桑,3
棄,3
棋,3
楼,3
概,3
欧,3
欺,3
殊,3
殴,3
没,3
泌,3
浪,3
湾,3
湿,3
滅,3
滑,3
滝,3
滞,3
漂,3
漏,3
潜,3
潤,3
濫,3
瀬,3
炉,3
炊,3
炎,3
焦,3
牲,3
犠,3
猟,3
獄,3
甲,3
畔,3
畜,3
疾,3
痘,3
癖,3
硬,3
碑,3
礎,3
祉,3
稚,3
穂,3
穏,3
穫,3
窒,3
符,3
篤,3
簿,3
籍,3
粋,3
粗,3
粘,3
糧,3
紛,3
紺,3
絞,3
綱,3
緊,3
締,3
緩,3
縛,3
縫,3
繕,3
翻,3
聴,3
肝,3
胆,3
胎,3
胞,3
脅,3
膜,3
膨,3
芳,3
苗,3
菊,3
華,3
葬,3
