崩,ホウ、くず-れる、くず-す,1,2
嵐,あらし,0,1
川,セン、かわ,1,1
州,シュウ、す,1,1
巡,ジュン、めぐ-る,1,1
巣,ソウ、す,1,1
工,コウ、ク,2,0
左,サ、ひだり,1,1
巧,コウ、たく-み,1,1
巨,キョ,1,0
差,サ、さ-す,1,1
己,コ、キ、おのれ,2,1
巻,カン、ま-く、まき,1,2
巾,キン,1,0
市,シ、いち,1,1
布,フ、ぬの,1,1
帆,ハン、ほ,1,1
希,キ,1,0
帝,テイ,1,0
帥,スイ,1,0
師,シ,1,0
席,セキ,1,0
帯,タイ、お-びる、おび,1,2
帰,キ、かえ-る、かえ-す,1,2
帳,チョウ,1,0
常,ジョウ、つね、とこ,1,2
帽,ボウ,1,0
幅,フク、はば,1,1
幕,マク、バク,2,0
幣,ヘイ,1,0
干,カン、ほ-す、ひ-る,1,2
平,ヘイ、ビョウ、たい-ら、ひら,2,2
年,ネン、とし,1,1
幸,コウ、さいわ-い、さち、しあわ-せ,1,3
幹,カン、みき,1,1
幻,ゲン、まぼろし,1,1
幼,ヨウ、おさな-い,1,1
幽,ユウ,1,0
幾,キ、いく,1,1
庁,チョウ,1,0
広,コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる,1,5
床,ショウ、とこ、ゆか,1,2
序,ジョ,1,0
底,テイ、そこ,1,1
店,テン、みせ,1,1
府,フ,1,0
度,ド、[ト]、[タク]、たび,3,1
座,ザ、すわ-る,1,1
庫,コ、[ク],2,0
庭,テイ、にわ,1,1
庶,ショ,1,0
康,コウ,1,0
庸,ヨウ,1,0
廃,ハイ、すた-れる、すた-る,1,2
廉,レン,1,0
廊,ロウ,1,0
延,エン、の-びる、の-べる、の-ばす,1,3
廷,テイ,1,0
建,ケン、[コン]、た-てる、た-つ,2,2
弁,ベン,1,0
弄,ロウ、もてあそ-ぶ,1,1
弊,ヘイ,1,0
式,シキ,1,0
弐,ニ,1,0
弓,キュウ、ゆみ,1,1
弔,チョウ、とむら-う,1,1
引,イン、ひ-く、ひ-ける,1,2
弟,テイ、[ダイ]、[デ]、おとうと,3,1
弥,や,0,1
弦,ゲン、つる,1,1
弧,コ,1,0
弱,ジャク、よわ-い、よわ-る、よわ-まる、よわ-める,1,4
張,チョウ、は-る,1,1
強,キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる,2,4
弾,ダン、ひ-く、はず-む、たま,1,3
当,トウ、あ-たる、あ-てる,1,2
彙,イ,1,0
形,ケイ、ギョウ、かた、かたち,2,2
彩,サイ、いろど-る,1,1
彫,チョウ、ほ-る,1,1
彰,ショウ,1,0
影,エイ、かげ,1,1
役,ヤク、エキ,2,0
彼,ヒ、かれ、[かの],1,2
往,オウ,1,0
征,セイ,1,0
径,ケイ,1,0
待,タイ、ま-つ,1,1
律,リツ、[リチ],2,0
後,ゴ、コウ、のち、うし-ろ、あと、おく-れる,2,4
徐,ジョ,1,0
徒,ト,1,0
従,ジュウ、[ショウ]、[ジュ]、したが-う、したが-える,3,2
得,トク、え-る、う-る,1,2
御,ギョ、ゴ、おん,2,1
復,フク,1,0
循,ジュン,1,0
微,ビ,1,0
徳,トク,1,0
徴,チョウ,1,0
徹,テツ,1,0
心,シン、こころ,1,1
必,ヒツ、かなら-ず,1,1
忌,キ、い-む、い-まわしい,1,2
忍,ニン、しの-ぶ、しの-ばせる,1,2
志,シ、こころざ-す、こころざし,1,2
忘,ボウ、わす-れる,1,1
忙,ボウ、いそが-しい,1,1
応,オウ、こた-える,1,1
忠,チュウ,1,0
快,カイ、こころよ-い,1,1
念,ネン,1,0
怒,ド、いか-る、おこ-る,1,2
怖,フ、こわ-い,1,1
思,シ、おも-う,1,1
怠,タイ、おこた-る、なま-ける,1,2
急,キュウ、いそ-ぐ,1,1
性,セイ、ショウ,2,0
怨,エン、オン,2,0
怪,カイ、あや-しい、あや-しむ,1,2
恋,レン、こ-う、こい、こい-しい,1,3
恐,キョウ、おそ-れる、おそ-ろしい,1,2
恒,コウ,1,0
恣,シ,1,0
恥,チ、は-じる、はじ、は-じらう、は-ずかしい,1,4
恨,コン、うら-む、うら-めしい,1,2
恩,オン,1,0
恭,キョウ、うやうや-しい,1,1
息,ソク、いき,1,1
恵,ケイ、エ、めぐ-む,2,1
悔,カイ、く-いる、く-やむ、くや-しい,1,3
悟,ゴ、さと-る,1,1
悠,ユウ,1,0
患,カン、わずら-う,1,1
悦,エツ,1,0
悩,ノウ、なや-む、なや-ます,1,2
悪,アク、オ、わる-い,2,1
悲,ヒ、かな-しい、かな-しむ,1,2
悼,トウ、いた-む,1,1
情,ジョウ、[セイ]、なさ-け,2,1
惑,ワク、まど-う,1,1
惜,セキ、お-しい、お-しむ,1,2
惧,グ,1,0
惨,サン、ザン、みじ-め,2,1
惰,ダ,1,0
想,ソウ、[ソ],2,0
愁,シュウ、うれ-える、うれ-い,1,2
愉,ユ,1,0
意,イ,1,0
愚,グ、おろ-か,1,1
愛,アイ,1,0
感,カン,1,0
慄,リツ,1,0
慈,ジ、いつく-しむ,1,1
態,タイ,1,0
慌,コウ、あわ-てる、あわ-ただしい,1,2
慎,シン、つつし-む,1,1
慕,ボ、した-う,1,1
慢,マン,1,0
慣,カン、な-れる、な-らす,1,2
慨,ガイ,1,0
慮,リョ,1,0
慰,イ、なぐさ-める、なぐさ-む,1,2
慶,ケイ,1,0
憂,ユウ、うれ-える、うれ-い、う-い,1,3
憎,ゾウ、にく-む、にく-い、にく-らしい、にく-しみ,1,4
憤,フン、いきどお-る,1,1
憧,ショウ、あこが-れる,1,1
憩,ケイ、いこ-い、いこ-う,1,2
憬,ケイ,1,0
憲,ケン,1,0
憶,オク,1,0
憾,カン,1,0
懇,コン、ねんご-ろ,1,1
懐,カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける,1,5
懲,チョウ、こ-りる、こ-らす、こ-らしめる,1,3
懸,ケン、[ケ]、か-ける、か-かる,2,2
成,セイ、[ジョウ]、な-る、な-す,2,2
我,ガ、われ、わ,1,2
戒,カイ、いまし-める,1,1
戚,セキ,1,0
戦,セン、いくさ、たたか-う,1,2
戯,ギ、たわむ-れる,1,1
戴,タイ,1,0
戸,コ、と,1,1
戻,レイ、もど-す、もど-る,1,2
房,ボウ、ふさ,1,1
