,﻿一,イチ、イツ、ひと、ひと-つ,2,2
9,弱,ジャク、よわ-い、よわ-る、よわ-まる、よわ-める,1,4
6,張,チョウ、は-る,1,1
9,強,キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる,2,4
4,弾,ダン、ひ-く、はず-む、たま,1,3
9,当,トウ、あ-たる、あ-てる,1,2
2,彙,イ,1,0
9,形,ケイ、ギョウ、かた、かたち,2,2
4,彩,サイ、いろど-る,1,1
3,彫,チョウ、ほ-る,1,1
2.5,彰,ショウ,1,0
4,影,エイ、かげ,1,1
8,役,ヤク、エキ,2,0
4,彼,ヒ、かれ、[かの],1,2
6,往,オウ,1,0
4,征,セイ,1,0
7,径,ケイ,1,0
8,待,タイ、ま-つ,1,1
5,律,リツ、[リチ],2,0
9,後,ゴ、コウ、のち、うし-ろ、あと、おく-れる,2,4
3,徐,ジョ,1,0
7,徒,ト,1,0
5,従,ジュウ、[ショウ]、[ジュ]、したが-う、したが-える,3,2
6,得,トク、え-る、う-る,1,2
4,御,ギョ、ゴ、おん,2,1
6,復,フク,1,0
2.5,循,ジュン,1,0
4,微,ビ,1,0
7,徳,トク,1,0
4,徴,チョウ,1,0
2.5,徹,テツ,1,0
9,心,シン、こころ,1,1
7,必,ヒツ、かなら-ず,1,1
3,忌,キ、い-む、い-まわしい,1,2
2.5,忍,ニン、しの-ぶ、しの-ばせる,1,2
6,志,シ、こころざ-す、こころざし,1,2
5,忘,ボウ、わす-れる,1,1
4,忙,ボウ、いそが-しい,1,1
6,応,オウ、こた-える,1,1
5,忠,チュウ,1,0
6,快,カイ、こころよ-い,1,1
7,念,ネン,1,0
4,怒,ド、いか-る、おこ-る,1,2
4,怖,フ、こわ-い,1,1
9,思,シ、おも-う,1,1
3,怠,タイ、おこた-る、なま-ける,1,2
8,急,キュウ、いそ-ぐ,1,1
6,性,セイ、ショウ,2,0
2,怨,エン、オン,2,0
3,怪,カイ、あや-しい、あや-しむ,1,2
4,恋,レン、こ-う、こい、こい-しい,1,3
4,恐,キョウ、おそ-れる、おそ-ろしい,1,2
4,恒,コウ,1,0
2,恣,シ,1,0
4,恥,チ、は-じる、はじ、は-じらう、は-ずかしい,1,4
3,恨,コン、うら-む、うら-めしい,1,2
5,恩,オン,1,0
2.5,恭,キョウ、うやうや-しい,1,1
8,息,ソク、いき,1,1
4,恵,ケイ、エ、めぐ-む,2,1
3,悔,カイ、く-いる、く-やむ、くや-しい,1,3
3,悟,ゴ、さと-る,1,1
2.5,悠,ユウ,1,0
2.5,患,カン、わずら-う,1,1
3,悦,エツ,1,0
4,悩,ノウ、なや-む、なや-ます,1,2
8,悪,アク、オ、わる-い,2,1
8,悲,ヒ、かな-しい、かな-しむ,1,2
2.5,悼,トウ、いた-む,1,1
6,情,ジョウ、[セイ]、なさ-け,2,1
4,惑,ワク、まど-う,1,1
3,惜,セキ、お-しい、お-しむ,1,2
2,惧,グ,1,0
4,惨,サン、ザン、みじ-め,2,1
2.5,惰,ダ,1,0
8,想,ソウ、[ソ],2,0
2.5,愁,シュウ、うれ-える、うれ-い,1,2
2.5,愉,ユ,1,0
8,意,イ,1,0
3,愚,グ、おろ-か,1,1
7,愛,アイ,1,0
8,感,カン,1,0
2,慄,リツ,1,0
3,慈,ジ、いつく-しむ,1,1
6,態,タイ,1,0
3,慌,コウ、あわ-てる、あわ-ただしい,1,2
4,慎,シン、つつし-む,1,1
3,慕,ボ、した-う,1,1
4,慢,マン,1,0
6,慣,カン、な-れる、な-らす,1,2
3,慨,ガイ,1,0
4,慮,リョ,1,0
3,慰,イ、なぐさ-める、なぐさ-む,1,2
2.5,慶,ケイ,1,0
3,憂,ユウ、うれ-える、うれ-い、う-い,1,3
3,憎,ゾウ、にく-む、にく-い、にく-らしい、にく-しみ,1,4
2.5,憤,フン、いきどお-る,1,1
2,憧,ショウ、あこが-れる,1,1
3,憩,ケイ、いこ-い、いこ-う,1,2
