浅	0004058200
浴	0006994900
清	0003887800
満	0006581800
滋	0002883200
漁	0001470600
潟	0000955900
灯	0005154000
無	0006635800
然	0004145300
焼	0003411400
照	0003428000
熊	0001712000
熱	0005476200
牧	0006481900
特	0005298200
産	0002656400
的	0004998500
省	0003878800
祝	0003194900
票	0005938300
種	0003070200
積	0003976600
競	0001551600
笑	0003388200
管	0001105400
節	0004008800
約	0006800800
結	0001871100
給	0001405100
続	0004360400
縄	0003521700
置	0004687500
群	0001744800
老	0007341300
臣	0003587500
良	0007155800
芸	0001828800
芽	0000741600
英	0000384700
茨	0000260000
菜	0002519000
街	0000858200
衣	0000123100
要	0006942000
覚	0000899700
観	0001137100
訓	0001730800
試	0002818700
説	0004013100
課	0000722900
議	0001324000
貨	0000690500
賀	0000746400
軍	0001740200
輪	0007208900
辞	0002887000
辺	0006256500
連	0007294000
達	0004557100
選	0004106300
郡	0001743900
量	0007172300
録	0007390500
鏡	0001550400
関	0001108800
阜	0006036300
阪	0005742400
陸	0007100300
隊	0004459900
静	0003924700
順	0003260400
願	0001172500
類	0007233800
飛	0005817800
飯	0005755600
養	0006976600
香	0002228900
験	0001976000
鹿	0002897700
久	0001364400
仏	0006140800
仮	0000636700
件	0001895200
任	0005457700
似	0002862600
余	0006909700
価	0000653600
保	0006298600
修	0003116600
個	0002056900
停	0004965500
備	0005873200
像	0004318300
再	0002489800
刊	0001016100
判	0005738200
制	0003857100
則	0004340800
効	0002190700
務	0006635100
勢	0003905300
厚	0002204400
句	0001653800
可	0000632800
史	0002711700
告	0002368200
喜	0001246700
営	0000392900
因	0000279500
団	0004636300
囲	0000128800
圧	0000064700
在	0002545500
均	0001596900
型	0001764100
基	0001234000
堂	0005270000
報	0006386800
境	0001535400
墓	0006326600
増	0004319100
士	0002694900
夢	0006652200
妻	0002494300
婦	0006049500
容	0006946400
寄	0001236300
導	0005282100
居	0001425200
属	0004357700
布	0006023000
師	0002776900
常	0003505300
幹	0001094700
序	0003319500
弁	0006281500
張	0004796600
往	0000512200
得	0005303800
復	0006109900
志	0002742200
応	0000508500
快	0000766800
性	0003862200
情	0003510400
態	0004463400
慣	0001103900
技	0001301100
招	0003359500
授	0003083600
採	0002507700
接	0003995400
提	0004972900
損	0004387100
支	0002702800
政	0003873300
故	0002046000
救	0001400000
断	0004642900
旧	0001370600
易	0000411200
暴	0006453700
条	0003491900
枝	0002757600
査	0002460600
格	0000891600
桜	0000522800
検	0001937000
構	0002299200
武	0006073400
歴	0007278600
殺	0002596600
毒	0005315900
比	0005790900
永	0000380700
河	0000660500
液	0000417100
混	0002434700
減	0002010600
測	0004350200
準	0003264000
演	0000478900
潔	0001878500
災	0002493100
燃	0005492400
版	0005744600
犯	0005732700
状	0003494600
独	0005318200
率	0004369700
現	0002004000
留	0007126600
略	0007114700
益	0000414700
眼	0001160300
破	0005531100
確	0000911200
示	0002841600
祖	0004160200
禁	0001629500
移	0000154300
程	0004977100
税	0003939700
築	0004704700
粉	0006161800
精	0003915000
紀	0001211700
素	0004165100
経	0001781600
統	0005212400
絶	0004019200
綿	0006712200
総	0004278400
編	0006275500
績	0003979200
織	0003557300
罪	0002551500
義	0001307200
耕	0002242700
職	0003558300
肥	0005806600
能	0005498200
脈	0006622300
興	0002316200
舎	0002971600
航	0002244700
術	0003226800
衛	0000403800
製	0003922100
複	0006120000
規	0001242000
解	0000815300
設	0004000100
許	0001440800
証	0003420200
評	0005939300
講	0002324100
謝	0002990200
識	0002903800
護	0002114300
豊	0006395100
象	0003423300
財	0002549600
貧	0005977600
責	0003969200
貯	0004768800
貸	0004458700
費	0005839100
貿	0006450100
資	0002821200
賛	0002670100
賞	0003449800
質	0002941000
輸	0006838800
述	0003224700
迷	0006685100
逆	0001355000
造	0004315000
過	0000695300
適	0005005300
酸	0002667100
鉱	0002294400
銅	0005279900
防	0006425000
限	0001997000
険	0001929600
際	0002539500
雑	0002605500
非	0005809100
領	0007180400
額	0000935300
飼	0002823200
並	0006203500
乱	0007046500
乳	0005450500
亡	0006414400
仁	0003694400
供	0001490800
俳	0005566300
俵	0005936400
値	0004675200
傷	0003425400
優	0006892500
党	0005171600
冊	0002591500
処	0003273600
券	0001902500
刻	0002371000
割	0000970900
創	0004248700
劇	0001841700
勤	0001621200
危	0001181300
卵	0007051800
厳	0002016600
収	0003093900
后	0002162500
否	0005797700
吸	0001377400
呼	0002031200
善	0004141100
困	0002420500
垂	0003740600
域	0000193000
奏	0004215200
奮	0006172000
姿	0002763100
存	0004377600
孝	0002180100
宅	0004522300
宇	0000309500
宗	0003105000
宙	0004735300
宝	0006348000
宣	0004051500
密	0006612700
寸	0003811900
専	0004053600
射	0002974700
将	0003375200
尊	0004383300
就	0003131300
尺	0002999700
届	0005337600
展	0005059000
層	0004273100
己	0002020800
巻	0001042200
幕	0006541300
干	0001012200
幼	0006925900
庁	0004778800
座	0002483300
延	0000440400
律	0007109800
従	0003180400
忘	0006423400
忠	0004736000
恩	0000600100
